chunk_id,text,grade,subject,concept_id
C1,"CChhaapptteerr 22 Fractions Tamanna is a student of Grade 5. She has two chocolates of different 1 1 sizes. She says that of one of her chocolates is bigger than of the 3 2 other chocolate. Is that correct? Explain why this is so. 1 When can we say that of something 2 1 1 is greater than of something? Identify of 3 2 the chocolate 1 Identify of the chocolate 3 To compare two fractions of two wholes, the wholes from which the fractions are derived must be the same. Playing with a Grid A B C 1  Shade of Grid A in red. 8 1  Shade of Grid B in blue. 6 1  Shade of Grid C in yellow. 12 1  Do you see in any of the grids? Mark it. 3 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 1177 77//22//22002255 33::3300::3300 PPMM",4,Math,M406
C2,"1 2 Is equal to ? Let us find out. 3 6 Look at the picture and identify the fractions. Are there two different ways to write the fraction represented by the shaded part? ___________________ 1 2 Do you see that = ? Yes. These are called ‘equivalent fractions’. 3 6 Let us see how equivalent fractions can be generated. Fun with Fraction Kit Gurpreet is playing with his fraction kit (a kit is given at the end of the textbook). Do you remember how to make a whole with pieces of the same 1 size? How many pieces will you need to make a whole? 5 He makes a whole using two different fraction pieces. The whole looks like the following. 1 1 One piece of and two pieces of make a whole. 1 2 4 1 1 2 What is the relation between and ? Discuss 2 4 1 1 in class. 4 4 1 2 1 2 = ( is equivalent to ). 2 4 2 4 1 1 When a piece is broken into 2 equal parts, each part is a piece. 2 4 1 1 2 pieces of are equal to . 4 2 1 What else is equivalent to ? 2 1 2 ____ ____ ____ = = = = 2 4 18 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 1188 77//22//22002255 33::3300::3300 PPMM",4,Math,M406
C3,"Let Us Do 1. In groups of 3 or 4, find different ways of making a whole with different fraction pieces from your kit. Write the equivalent fractions for the following that you may find in the process. 1 1 (a) = = = (b) = = = 3 4 1 1 (c) = = = (d) = = = 5 6 Do you see how to generate equivalent fractions for any given fraction? Discuss in class. 2. Find the following using your kit. You can also shade and check by shading the following. The first one is partially done for you. 1 1 A. How many s make ? 6 3 1 The shaded part is . Identify 3 1 in the same whole and find 6 1 1 how many s fit into ? 6 3 1 B. How many s make 8 1 1 (a) ? (b) ? 4 2 1 C. How many s make 12 1 1 1 1 (a) (b) (c) (d) ? 2 3 4 6 19 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 1199 77//22//22002255 33::3300::3300 PPMM",4,Math,M407
C4,"3. Do as instructed using your fraction kit. 1 1  Make a whole using only and pieces. 6 12 1 1 1  Make a whole using , , and pieces. 12 4 2  Make a whole using any five pieces of the same size.  Make a whole using any seven pieces. Play in a group with this kit and find other interesting combinations to make a whole. Write or draw your findings. Making Equivalent Fractions Sameer has shaded one-third of the following figures. He draws horizontal lines to divide the shapes into more equal parts. 1 2 3 4 3 6 9 12 20 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2200 77//22//22002255 33::3300::3300 PPMM",4,Math,M407
C5,"1 2 3 4 He observes an interesting pattern and says that , , , and show 3 6 9 12 the same shaded region. 2 3 4 1 , , and are all equivalent to . We use the word ‘equivalent’ to 6 9 12 3 indicate the same part of a whole, with different names. Divide the wholes given below into more equal parts and find fractions 1 equivalent to . Write them in the boxes below the images. 3 Do you see any pattern in all the equivalent fractions that you found? 1 2 3 4 ______ ______ ______ = = = = = = = = 3 6 9 12 24 36 How do you know when a fraction is equivalent to another? Discuss in class. 2 The below pictures show of a whole. Find the different fractions that are 5 2 equivalent to and write your fractions below each image. 5 2 4 4 4 5 10 36 36 2 4 _____ _____ = = = = = 5 10 50 100 21 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2211 77//22//22002255 33::3300::3300 PPMM",4,Math,M409
C6,"Let Us Do 1. Fill in the blanks with equivalent fractions. There may be more than one answer. 1 _____ 2 _____ (a) = (b) = 7 3 3 _____ 3 _____ (c) = (d) = 4 5 2. Put a tick () against the fractions that are equivalent. 2 3 3 6 (a) and (b) and 3 4 5 10 4 2 6 1 (c) and (d) and 12 6 9 3 3. Fill in the boxes such that the fractions become equivalent. 2 3 (a) = (b) = 5 10 4 16 4 8 5 25 (c) = (d) = 7 9 Comparing Fractions — Same Denominator 1 Sevi and Shami divided a piece of chikki between themselves. Sevi ate 3 2 and Shami ate the rest, that is, . Who ate more? 3 1 2 pieces of are more than 3 1 1 piece of . So, Shami ate more. 3 2 1 > 3 3 22 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2222 0044--0077--22002255 1111::4455::5588",4,Math,M408
C7,"Let Us Do 1. Compare the fractions given below using < and > signs. 1 3 7 3 (a) ______ (d) ______ 4 4 8 8 3 4 5 6 (b) ______ (e) ______ 5 5 10 10 5 2 2 1 (c) ______ (f) ______ 7 7 6 6 Comparing Fractions — Same Numerator 4 4 I ate paratha I ate paratha 5 6 yesterday evening. yesterday evening. Between Sevi and Shami, can you tell who ate more? Use your fraction kit to find the answer. Do the following pictures help you reason? Share your thoughts in the class. 5 1 6 1 1 1 piece is smaller than 51 6 5 1 1 4 4 1 5 1 6 piece. Therefore, 6 < 5 . 5 6 Let Us Do 1. Compare the following fractions using < and > signs. 3 3 4 4 (a) ______ (b) ______ 8 7 9 10 2 2 5 5 (c) ______ (d) ______ 7 5 7 6 6 6 7 7 (e) ______ (f) ______ 9 10 9 11 23 61 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2233 77//22//22002255 33::3300::3311 PPMM",4,Math,M406
C8,Fractions Greater Than 1 Raman’s father makes nice soft parathas. He cuts the parathas either into halves (2 equal parts) or fourths (4 equal parts) before serving them. He asks his children (Raman and Radhika) each day to find out the number of parathas he made. 1 Maa took 5 pieces of paratha. How many parathas did she eat? 2 1 1 paratha 1 paratha paratha 2 1 + 1 + 1 + 1 + 1 We can also show the 2 2 2 2 2 same on a number line. Divide 1 1 5 pieces of 1 paratha = 5 parathas the distance between 0 and 1 in 2 2 1 1 two equal parts. Each part is . = 2 + parathas 2 2 2 halves make 1. Placing 5 halves 1 = 2 parathas next to each other takes 2 5 1 us to or 2 . 2 2 1 2 0 =1 2 2 1 2 3 4 5 0 =1 =2 2 2 2 2 2 24 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2244 77//22//22002255 33::3300::3311 PPMM,4,Math,M408
C9,"1 Raman’s sister Radhika took 6 pieces of paratha. How many parathas 2 did she eat? 1 2 3 4 5 6 0 =1 =2 2 2 2 2 2 2 1 1 1 1 1 1 6 + + + + + = parathas = 3 parathas. 2 2 2 2 2 2 2 1 1 1 1 Dadiji had 7 pieces of paratha. How many parathas did she eat? 2 Find out. 1 1 Raman ate 6 pieces of paratha, Dadaji ate 7 pieces of paratha and 2 2 1 Baba ate 5 pieces of paratha. How many parathas did each of them eat? 2 Use the number line to find the answer. Quantity of Raman’s paratha 0 1 Quantity of Dadaji’s paratha 0 1 Quantity of Baba’s paratha 0 1 25 Reprint 2026-27 CChhaapptteerr--22 FFrraaccttiioonn..iinndddd 2255 77//22//22002255 33::3300::3311 PPMM",4,Math,M409
C10,"How many parathas were made on this day? Find out. 1 Another day, Raman’s father cut all the parathas in . Dadaji took 9 pieces 4 1 of paratha. How many parathas did he eat? 4 1 1 paratha 1 paratha paratha 4 1 1 1 1 1 1 1 1 1 9 + + + + + + + + = parathas = 4 4 4 4 4 4 4 4 4 4 1 1 1 2 + parathas 4 1 = 2 parathas 4 We can also show the same on a number line. Divide the distance between 0 and 1 into 1 four equal parts. Each part is . 4 4 one-fourths make 1. Placing 1 2 3 4 0 =1 4 4 4 4 9 one-fourths next to each other 9 1 takes us to or 2 . 4 4 1 2 3 4 5 6 7 8 9 0 =1 =2 4 4 4 4 4 4 4 4 4 26 Reprint 2026-27 CChhaapptteerr 22..iinndddd 2266 22//2244//22002266 44::1133::4400 PPMM",4,Math,M407
